ID,request_ID,stage,approver_ID,action,comments,actionAt
a1000000-0000-0000-0000-000000000001,r1000000-0000-0000-0000-000000000002,Manager,e1000000-0000-0000-0000-000000000003,Pending,,
a1000000-0000-0000-0000-000000000002,r1000000-0000-0000-0000-000000000003,Manager,e1000000-0000-0000-0000-000000000003,Approved,Looks good – budget is available,2026-02-12T14:00:00Z
a1000000-0000-0000-0000-000000000003,r1000000-0000-0000-0000-000000000003,DepartmentHead,e1000000-0000-0000-0000-000000000004,Pending,,
a1000000-0000-0000-0000-000000000004,r1000000-0000-0000-0000-000000000004,Manager,e1000000-0000-0000-0000-000000000003,Approved,Maintenance is overdue,2026-02-16T09:00:00Z
a1000000-0000-0000-0000-000000000005,r1000000-0000-0000-0000-000000000004,DepartmentHead,e1000000-0000-0000-0000-000000000004,Approved,Critical operational need confirmed,2026-02-18T16:00:00Z
a1000000-0000-0000-0000-000000000006,r1000000-0000-0000-0000-000000000004,Finance,e1000000-0000-0000-0000-000000000005,Pending,,
a1000000-0000-0000-0000-000000000007,r1000000-0000-0000-0000-000000000005,Manager,e1000000-0000-0000-0000-000000000003,Approved,Strategic priority approved,2026-02-21T10:00:00Z
a1000000-0000-0000-0000-000000000008,r1000000-0000-0000-0000-000000000005,DepartmentHead,e1000000-0000-0000-0000-000000000004,Approved,Aligns with IT roadmap,2026-02-23T11:00:00Z
a1000000-0000-0000-0000-000000000009,r1000000-0000-0000-0000-000000000005,Finance,e1000000-0000-0000-0000-000000000005,Approved,ROI analysis accepted,2026-02-25T11:00:00Z
a1000000-0000-0000-0000-000000000010,r1000000-0000-0000-0000-000000000006,Manager,e1000000-0000-0000-0000-000000000003,Rejected,Merchandise spend not approved in current budget cycle,2026-02-11T13:00:00Z
